cds,ad,media_voto,numero_superamenti
[581] GIURISPRUDENZA,[A5810077] DIRITTO DELLE ASSICURAZIONI,28.473684210526315,19
[581] GIURISPRUDENZA,[A5810036] DIRITTO ROMANO,28.439655172413794,116
[581] GIURISPRUDENZA,[A5810060] DIRITTO PENALE (PARTE SPECIALE),28.358974358974358,39
[581] GIURISPRUDENZA,[A5810049] DIRITTO BANCARIO,28.346153846153847,26
[581] GIURISPRUDENZA,[A5810132] DIRITTO PRIVATO COMPARATO,28.288888888888888,135
[581] GIURISPRUDENZA,[A5810055] DIRITTO DI FAMIGLIA,28.25423728813559,59
[581] GIURISPRUDENZA,[A5810061] DIRITTO PENALE COMMERCIALE,28.217391304347824,23
[581] GIURISPRUDENZA,[A5810032] SOCIOLOGIA DEL DIRITTO,28.14965986394558,147
[581] GIURISPRUDENZA,[A5810059] DIRITTO INTERNAZIONALE PRIVATO E PROCESSUALE,28.142857142857142,7
[581] GIURISPRUDENZA,[A5810109] DIRITTO PENALE DELL'INFORMATICA,28.07894736842105,38
[581] GIURISPRUDENZA,[A5810044] DIRITTO REGIONALE,28.076923076923077,13
[581] GIURISPRUDENZA,[F9201P203] WEB MARKETING,28,1
[581] GIURISPRUDENZA,[A5810168] REFUGEE LAW,28,1
[581] GIURISPRUDENZA,[A5810167] INTERNATIONAL HUMANITARIAN LAW,28,1
[581] GIURISPRUDENZA,[A5810067] DIRITTO URBANISTICO,28,12
[581] GIURISPRUDENZA,[A5810125] DIRITTO CIVILE (ILLECITO),27.962264150943398,212
[581] GIURISPRUDENZA,[A5810046] CRIMINOLOGIA,27.86,50
[581] GIURISPRUDENZA,[A5810135] STORIA DEL DIRITTO DELLE OBBLIGAZIONI E DEI CONTRATTI,27.84375,32
[581] GIURISPRUDENZA,[A5810106] BIOETICA,27.82,50
[581] GIURISPRUDENZA,[A5810030] DIRITTO ECCLESIASTICO,27.80701754385965,114
[581] GIURISPRUDENZA,[A5810066] DIRITTO SINDACALE,27.75,4
[581] GIURISPRUDENZA,[A5810071] ORGANIZZAZIONE INTERNAZIONALE,27.7,10
[581] GIURISPRUDENZA,[A5810064] DIRITTO PROCESSUALE CIVILE C.P.,27.666666666666668,3
[581] GIURISPRUDENZA,[A5810039] STORIA DEL DIRITTO DI FAMIGLIA,27.660377358490567,106
[581] GIURISPRUDENZA,[A5810133] DIRITTO PUBBLICO COMPARATO,27.609756097560975,41
[581] GIURISPRUDENZA,[A5810056] DIRITTO FALLIMENTARE,27.6,35
[581] GIURISPRUDENZA,[A5810053] DIRITTO DELL'ESECUZIONE CIVILE,27.6,10
[581] GIURISPRUDENZA,[A5810068] ECONOMIA POLITICA,27.571428571428573,7
[581] GIURISPRUDENZA,[A5810107] DIRITTO PENALE DELL'AMBIENTE,27.55,20
[581] GIURISPRUDENZA,[A5810029] DIRITTO CANONICO,27.485507246376812,138
[581] GIURISPRUDENZA,[A5810082] GIUSTIZIA COSTITUZIONALE,27.48076923076923,52
[581] GIURISPRUDENZA,[A5810010] DIRITTO AMMINISTRATIVO,27.32512315270936,203
[581] GIURISPRUDENZA,[A5810122] MEDIAZIONE REO-VITTIMA E MEDIAZIONE SOCIALE,27.266666666666666,15
[581] GIURISPRUDENZA,[A5810011] GIUSTIZIA AMMINISTRATIVA,27.22680412371134,97
[581] GIURISPRUDENZA,[A5810057] DIRITTO INDUSTRIALE,27.09090909090909,11
[581] GIURISPRUDENZA,[A5810043] DIRITTO DELL'INFORMAZIONE E DELLA COMUNICAZIONE,27.072916666666668,96
[581] GIURISPRUDENZA,[A5810054] DIRITTO DELLE SUCCESSIONI,27.05,20
[581] GIURISPRUDENZA,[A5810018] PROCEDURA PENALE,27.03361344537815,119
[581] GIURISPRUDENZA,[A5810129] DIRITTO DELLA NAVIGAZIONE,27,15
[581] GIURISPRUDENZA,[A5810042] DIRITTO COSTITUZIONALE EUROPEO ( I DIRITTI FONDAMENTALI) MOD. JEAN MONNET,27,38
[581] GIURISPRUDENZA,[A5810051] DIRITTO DEL LAVORO C.P.,26.916666666666668,12
[581] GIURISPRUDENZA,[A5810012] DIRITTO TRIBUTARIO,26.9,130
[581] GIURISPRUDENZA,[A5810070] MEDICINA LEGALE,26.875,32
[581] GIURISPRUDENZA,[A5810072] POLITICA ECONOMICA,26.842105263157894,19
[581] GIURISPRUDENZA,[A5810128] DIRITTO DEL LAVORO,26.81,200
[581] GIURISPRUDENZA,[A5810006] FILOSOFIA DEL DIRITTO,26.678571428571427,168
[581] GIURISPRUDENZA,[A5810017] DIRITTO PROCESSUALE CIVILE,26.60112359550562,178
[581] GIURISPRUDENZA,[A5810136] STORIA DEL PROCESSO PENALE,26.54,50
[581] GIURISPRUDENZA,[A5810228] STORIA DEL DIRITTO MEDIEVALE E MODERNO,26.48051948051948,231
[581] GIURISPRUDENZA,[A5810137] TUTELA INTERNAZIONALE DEI DIRITTI UMANI,26.307692307692307,13
[581] GIURISPRUDENZA,[A5810015] DIRITTO PENALE,26.264423076923077,208
[581] GIURISPRUDENZA,[A5810047] DIRITTO AMBIENTALE,26.125,8
[581] GIURISPRUDENZA,[A5810126] DIRITTO CIVILE (IL CONTRATTO),26,29
[581] GIURISPRUDENZA,[A5810069] INFORMATICA GENERALE,26,1
[581] GIURISPRUDENZA,[A5810048] DIRITTO AMMINISTRATIVO EUROPEO,26,2
[581] GIURISPRUDENZA,[A5810229] ISTITUZIONI DI DIRITTO ROMANO,25.973333333333333,225
[581] GIURISPRUDENZA,[A5810014] DIRITTO COMMERCIALE,25.7103825136612,183
[581] GIURISPRUDENZA,[A5810003] SCIENZA DELLE FINANZE,25.505016722408026,299
[581] GIURISPRUDENZA,[A5810007] DIRITTO INTERNAZIONALE,25.485294117647058,204
[581] GIURISPRUDENZA,[A5810227] DIRITTO COSTITUZIONALE,25.302405498281786,291
[581] GIURISPRUDENZA,[A5810031] INFORMATICA GIURIDICA,25.233333333333334,30
[581] GIURISPRUDENZA,[A5810019] ISTITUZIONI DI DIRITTO PRIVATO,25.1937984496124,258
[581] GIURISPRUDENZA,[A5810130] DIRITTO DELL'UNIONE EUROPEA,25.104,125
[581] GIURISPRUDENZA,[A5810001] DIRITTO DEI CONSUMATORI,23.666666666666668,6
[581] GIURISPRUDENZA,[A5810081] ECONOMIA AZIENDALE,21,5
[581] GIURISPRUDENZA,[A5810153] SEMINARIO MACROAREA IUS/18-19-20- SPS/07,,11
[581] GIURISPRUDENZA,[A5810152] SEMINARIO MACROAREA IUS/01-02-04-07-15,,9
[581] GIURISPRUDENZA,[A5810151] SEMINARIO MACROAREA IUS/01-02-04-07-15,,4
[581] GIURISPRUDENZA,[A5810113] SEMINARIO MACROAREA IUS:16-17 MED/43,,253
[581] GIURISPRUDENZA,[A5810112] SEMINARIO MACROAREA IUS:05-06-08-10-11-13-14-21,,128
[581] GIURISPRUDENZA,[A5810111] SEMINARIO MACROAREA IUS: 18-19-20-SPS/07,,179
[581] GIURISPRUDENZA,[A5810110] SEMINARIO MACROAREA IUS:01-02-04-07-15,,20
[E0201Q] BIOTECNOLOGIE,[E0201Q074] BIOFISICA,30,1
[E0201Q] BIOTECNOLOGIE,[E0201Q058] CHIMICA FISICA,29,2
[E0201Q] BIOTECNOLOGIE,[E0201Q063] BIOCHIMICA CELLULARE,28.363636363636363,11
[E0201Q] BIOTECNOLOGIE,[E0201Q052] LABORATORI DI TECNOLOGIE ABILITANTI,28.15730337078652,89
[E0201Q] BIOTECNOLOGIE,[E0201Q012] ECONOMIA AZIENDALE,28.02970297029703,101
[E0201Q] BIOTECNOLOGIE,[E0201Q072] FISICA,28.029411764705884,136
[E0201Q] BIOTECNOLOGIE,[E0201Q068] GENETICA,28.008928571428573,112
[E0201Q] BIOTECNOLOGIE,[E3201Q083] ANALISI CHIMICHE AMBIENTALI,28,1
[E0201Q] BIOTECNOLOGIE,[E2401P035] CRIMINOLOGIA,28,1
[E0201Q] BIOTECNOLOGIE,[E0201Q057] ANALISI DI FUNZIONI GENICHE,28,15
[E0201Q] BIOTECNOLOGIE,[E0201Q075] BIOTECNOLOGIE CELLULARI,27.807692307692307,26
[E0201Q] BIOTECNOLOGIE,[E0201Q048] LABORATORIO DI CHIMICA,27.645569620253166,158
[E0201Q] BIOTECNOLOGIE,[E0201Q054] FARMACOLOGIA,27.348484848484848,66
[E0201Q] BIOTECNOLOGIE,[E0201Q065] BIOCHIMICA SISTEMATICA UMANA,27.095238095238095,84
[E0201Q] BIOTECNOLOGIE,[E0201Q008] BIOLOGIA MOLECOLARE I,26.961038961038962,77
[E0201Q] BIOTECNOLOGIE,[E0201Q069] MICROBIOLOGIA INDUSTRIALE,26.921875,64
[E0201Q] BIOTECNOLOGIE,[E0201Q051] IMMUNOLOGIA,26.7972972972973,74
[E0201Q] BIOTECNOLOGIE,[E0201Q005] CHIMICA ORGANICA,26.774436090225564,133
[E0201Q] BIOTECNOLOGIE,[E0201Q047] ISTITUZIONI DI BIOLOGIA,26.55421686746988,166
[E0201Q] BIOTECNOLOGIE,[E0201Q046] INFORMATICA,26.48780487804878,123
[E0201Q] BIOTECNOLOGIE,[E0201Q064] PROCESSI INDUSTRIALI E BIORAFFINERIE,26.416666666666668,24
[E0201Q] BIOTECNOLOGIE,[E0201Q049] BIOCHIMICA,26.28421052631579,95
[E0201Q] BIOTECNOLOGIE,[E0201Q060] FERMENTAZIONI E BIOPROCESSI MICROBICI,26.24074074074074,108
[E0201Q] BIOTECNOLOGIE,[E0201Q073] GENETICA MOLECOLARE UMANA,26.12,25
[E0201Q] BIOTECNOLOGIE,[E0201Q067] PATOLOGIA GENERALE,25.522727272727273,44
[E0201Q] BIOTECNOLOGIE,[E0201Q004] CHIMICA GENERALE ED INORGANICA,25.425925925925927,162
[E0201Q] BIOTECNOLOGIE,[E0201Q062] BIOLOGIA MOLECOLARE II,25.1,10
[E0201Q] BIOTECNOLOGIE,[E1301Q063] BOTANICA,25,1
[E0201Q] BIOTECNOLOGIE,[E0201Q001] MATEMATICA,24.53900709219858,141
[E0201Q] BIOTECNOLOGIE,[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO,23.958333333333332,24
[E0201Q] BIOTECNOLOGIE,[E0201Q053] ORGANI E FUNZIONI,23.72289156626506,83
[E0201Q] BIOTECNOLOGIE,[E0201Q059] BIOCHIMICA PER LE BIOTECNOLOGIE,23.410958904109588,73
[E0201Q] BIOTECNOLOGIE,[E1301Q059] ECOLOGIA APPLICATA,23,2
[E0201Q] BIOTECNOLOGIE,[E0201Q050] METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI,22.634615384615383,52
[E1301Q] SCIENZE BIOLOGICHE,[E3201Q084] GESTIONE DI BASE DATI,30,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q063] BIOCHIMICA CELLULARE,30,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q046] INFORMATICA,30,1
[E1301Q] SCIENZE BIOLOGICHE,[E2401P064] FILOSOFIA DELLA SCIENZA,29,1
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q035] LABORATORIO DI CHIMICA,28.357142857142858,112
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q057] ANALISI DI FUNZIONI GENICHE,28.22222222222222,9
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q072] GENETICA,28.21951219512195,41
[E1301Q] SCIENZE BIOLOGICHE,[E3201Q087] CHIMICA DELLE ACQUE,28,2
[E1301Q] SCIENZE BIOLOGICHE,[E3201Q072] PRINCIPI DI DIRITTO AMBIENTALE,28,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q060] FERMENTAZIONI E BIOPROCESSI MICROBICI,28,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q058] CHIMICA FISICA,28,1
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q063] BOTANICA,27.91588785046729,107
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q015] FISIOLOGIA GENERALE,27.745454545454546,55
[E1301Q] SCIENZE BIOLOGICHE,[E3401Q053] INTRODUZIONE ALLA GEOGRAFIA DEGLI OCEANI,27.5,8
[E1301Q] SCIENZE BIOLOGICHE,[E2702Q094] CHIMICA ORGANICA II E LABORATORIO,27.5,2
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q060] SISTEMATICA VEGETALE,27.2,30
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q062] ECOLOGIA,27.14423076923077,104
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q075] BIOTECNOLOGIE CELLULARI,27.125,8
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q061] ECOFISIOLOGIA VEGETALE,27.0625,16
[E1301Q] SCIENZE BIOLOGICHE,[E3201Q083] ANALISI CHIMICHE AMBIENTALI,27,3
[E1301Q] SCIENZE BIOLOGICHE,[E2401P035] CRIMINOLOGIA,27,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q062] BIOLOGIA MOLECOLARE II,27,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q012] ECONOMIA AZIENDALE,27,1
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q055] FISIOLOGIA VEGETALE,26.98780487804878,82
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q066] BIOLOGIA MOLECOLARE,26.75,44
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q059] ECOLOGIA APPLICATA,26.655172413793103,29
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q009] CHIMICA GENERALE,26.415300546448087,183
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q070] BIOLOGIA CELLULARE,26.41346153846154,104
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q067] IMMUNOLOGIA E PATOLOGIA,26.389830508474578,59
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q069] FARMACOLOGIA,26.339622641509433,53
[E1301Q] SCIENZE BIOLOGICHE,[E3401Q006] PALEONTOLOGIA,26.3,10
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q068] FISIOLOGIA DEI SISTEMI,26.285714285714285,28
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q064] MICROBIOLOGIA,26.253968253968253,63
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q010] CHIMICA ORGANICA,26.243478260869566,115
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q056] CITOLOGIA E ANATOMIA,26.037974683544302,79
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q058] BIOCHIMICA CELLULARE,26.027027027027028,74
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q073] GENETICA MOLECOLARE UMANA,26,15
[E1301Q] SCIENZE BIOLOGICHE,[E2401P019] PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI,25.647058823529413,17
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q007] FISICA,25.576470588235296,85
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO,25.25,8
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q057] CHIMICA BIOLOGICA,25.22972972972973,74
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q064] PROCESSI INDUSTRIALI E BIORAFFINERIE,25,2
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q011] ZOOLOGIA,24.413333333333334,75
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q065] BIOCHIMICA SISTEMATICA UMANA,24.333333333333332,48
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q067] PATOLOGIA GENERALE,24.272727272727273,11
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q071] MATEMATICA E STATISTICA,23.925925925925927,135
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A037] DIRITTO PUBBLICO COMPARATO,30,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810172] INTERNATIONAL CRIMINAL JUSTICE,30,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810139] DIRITTO AMMINISTRATIVO -PARTE SPECIALE,30,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810138] SOCIOLOGIA DEI DIRITTI FONDAMENTALI,30,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810121] MEDIAZIONE CIVILE E COMMERCIALE,30,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810077] DIRITTO DELLE ASSICURAZIONI,30,2
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A088] ADR- STRUMENTI DI COMPOSIZIONE DELLE LITI NEL DIRITTO CIVILE,29.55223880597015,67
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A083] DIRITTO PUBBLICO DELL'ECONOMIA,29.428571428571427,7
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A087] DIRITTO PENITENZIARIO,28.05263157894737,57
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A030] DIRITTO COMUNITARIO DELLA CONCORRENZA E DEL MERCATO INTERNO,28,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A024] INFORMATICA PER LE PUBBLICHE AMMINISTRAZIONI,27.863636363636363,22
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A032] DIRITTO PENALE COMMERCIALE,27.5,4
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A020] DIRITTO TRIBUTARIO,27.444444444444443,9
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A081] DIRITTO SINDACALE,27.333333333333332,3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A084] TEORIA GENERALE E METODI DEL DIRITTO,27.136363636363637,110
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A086] ELEMENTI DI DIRITTO PROCESSUALE CIVILE,27.01923076923077,104
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A025] DIRITTO DEI MERCATI FINANZIARI,26.833333333333332,24
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A074] ELEMENTI DI DIRITTO ROMANO PUBBLICO E PRIVATO,26.783783783783782,185
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A026] DIRITTO BANCARIO,26.238095238095237,21
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A033] ELEMENTI DI GIUSTIZIA AMMINISTRATIVA,25.82051282051282,39
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A011] DIRITTO DEL LAVORO C.P.,25.692307692307693,13
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A028] DIRITTO FALLIMENTARE,25.666666666666668,9
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A008] DIRITTO PENALE,25.62162162162162,74
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A019] DIRITTO DELLA SICUREZZA SOCIALE: PREVIDENZA E ASSISTENZA,25.473684210526315,19
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A014] STATISTICA ECONOMICA,25.160493827160494,81
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A007] DIRITTO COMMERCIALE,25.115942028985508,69
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A010] DIRITTO AMMINISTRATIVO,25.10958904109589,73
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A036] DIRITTO REGIONALE,25,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A017] DIRITTO INTERNAZIONALE,24.91764705882353,85
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A076] ELEMENTI DI STORIA DEL DIRITTO MEDIEVALE E MODERNO,24.91304347826087,161
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A085] ELEMENTI DI PROCEDURA PENALE,24.873015873015873,63
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A040] CRIMINOLOGIA,24.85,20
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A027] DIRITTO INDUSTRIALE,24.666666666666668,3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A080] DIRITTO DELL'UNIONE EUROPEA,24.265625,64
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A077] SCIENZA DELLE FINANZE,24.25874125874126,143
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A009] DIRITTO DEL LAVORO,23.970149253731343,67
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A005] DIRITTO COSTITUZIONALE,23.39097744360902,133
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A078] ISTITUZIONI DI DIRITTO PRIVATO,23.333333333333332,135
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A035] DIRITTO AMBIENTALE,22.8,5
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A015] ECONOMIA AZIENDALE,22.580645161290324,93
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A082] POLITICA ECONOMICA,22.125,8
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A038] DIRITTO AMMINISTRATIVO EUROPEO,21,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A097] SEMINARIO IUS/16-/17- MED/43,,4
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A095] SEMINARIO IUS/18-/19-/20-SPS/07,,22
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A089] PREPARAZIONE AL LEGAL ENGLISH CERTIFICATE,,3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A072] SEMINARIO IUS/16-/17- MED/43,,183
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A071] SEMINARIO IUS/18-/19-/20-SPS/07,,75
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A070] SEMINARIO IUS/05-/06-/08-/10-/11-/13-/14-/21,,80
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A069] SEMINARIO IUS/01-/02-/04-/07-/15,,13
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E3301M182] LINGUA-SPAGNOLO,29,2
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N011] SOCIOLOGIA DEL TERRITORIO,28.393617021276597,94
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1801M053] LINGUA - TEDESCO,28,1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N082] ARCHEOLOGIA,27.660493827160494,162
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E2001R005] SOCIOLOGIA DELLA COMUNICAZIONE,27,1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1801M052] LINGUA - SPAGNOLO,27,3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N083] TURISMO URBANO,26.58974358974359,156
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E3301M181] LINGUA- FRANCESE,26.4,5
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E4001N053] ORGANIZZAZIONE E LAVORO,26.333333333333332,3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,"[E1501N054] MUSICA, SPETTACOLO E TERRITORIO",26.304347826086957,23
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N072] TURISMO E COMUNITA' LOCALE,26.119318181818183,176
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1801M050] LINGUA - FRANCESE,26,1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N079] ELEMENTI DI ECONOMIA,25.887323943661972,142
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N051] GEOGRAFIA DEL TURISMO,25.798850574712645,174
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N077] ORGANIZZAZIONE DELLE STRUTTURE TURISTICHE,25.52,125
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N053] ARTE E ARCHITETTURA,25.027027027027028,111
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO,24.846153846153847,130
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N065] ECONOMIA CULTURALE E AMBIENTALE,24.813725490196077,102
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N080] MARKETING,24.46875,32
